,ID,Branch,Interview Date,Transaction Date,Comment Type,Comment,Follow-up,Satisfaction Rating
0,4278642,355,2/24/2015,2/23/2015,Compliment,"MY BANK is always good to me. I have banked with them since I was 13 years old. Everything has always been on the up-and-up. It is the only bank I have dealt with. You are very personable, almost like a family.",,10
1,3329834,311,4/10/2014,4/9/2014,Compliment,MY BANK is the best for me. They help people when they really need help. Because it's the best.,,8
2,4182303,353,1/14/2015,1/13/2015,Compliment,"MY BANK has been 100 percent on top on any bank. They've been absolutely amazing, the tellers all the way down to all of the tellers, and they are absolutely amazing. They provide an excellent service and it's from the time you walk in by the time you leave. We're all satisfied with them since, and every need that I've had there. I've never gotten better service or personal attention the way I do when I go to MY BANK.",,8
3,4228554,318,2/4/2015,2/3/2015,Compliment,Absolutely no problems with them. Everything has been great. Very happy with their service. No trouble whatsoever.,,9
4,3860433,351,9/4/2014,9/3/2014,Compliment,"Absolutely. They are efficient, courteous and helpful.",,9
5,3779030,350,8/5/2014,8/4/2014,Compliment,Actually it's the friendliness.,,10
6,3974924,351,10/20/2014,10/17/2014,Compliment,"Actually, we've never had any problems with them since we moved here 15 years ago. We've never had any problems. They've been very helpful. We've opened accounts with them, and they've led us in a good direction. As long as I don't have any problem with them, they are fine. They seem to know what they are doing, and I haven't had any banking problems with them of any kind.",,10
7,3549777,354,5/27/2014,5/23/2014,Compliment,"All my questions are answered, and they are very helpful.",,10
8,4087202,313,12/3/2014,12/2/2014,Compliment,"All the mentioned things I told you. I do not know. Everything together makes the bank, not just one thing.",,10
9,4612101,354,7/6/2015,7/3/2015,Compliment,All the people there are very helpful and never had an issue. Everyone knows me.,,10
10,4245660,160,2/10/2015,2/9/2015,Compliment,"All the reasons we have talked about. Everybody is pleasant, and they don't make many mistakes.",,10
11,4804290,320,9/28/2015,9/23/2015,Compliment,"All the tellers, when I walk in, they greet you, call you by name, they treat you like a family member or friend and not a number. Every time I go in there, they are able to help me. If they aren't able to, the branch manager helps me. They are all good. They are all dressed nice. I was having problems, several months back with one of my accounts, so I sat down, and they called the main branch, and took the time to do that. That wasn't the only thing, I had to ask questions about transferring money from an IRA, just very helpful. I'm going to say, the manager, Cari Wells, is very helpful, very welcoming. She treats people with respect, and very helpful to the tellers. All the tellers are wonderful.",,9
12,3465468,310,5/7/2014,5/6/2014,Compliment,All the things you addressed. They are always a pleasure to deal with and have made an effort to know who I am.,,10
13,5028061,318,12/10/2015,12/9/2015,Compliment,All these things you asked about is why I rate it absolutely the best. I like them a lot.,,8
14,4919876,401,11/2/2015,11/1/2015,Compliment,"Always nice, they have conversation, and it's very convenient.",,9
15,4906596,115,10/28/2015,10/26/2015,Compliment,"Anytime I go in there, they are courteous, they take care of what I need, and they are helpful. I just really like them. The other thing is convenience. The hours that branch has. I work 8:00 a.m. to 5:00 a.m., so it's nice to get in there after 5:00 p.m.",,10
16,3794515,320,8/11/2014,8/8/2014,Compliment,"Anytime I go in they answer my questions, they take care of my questions. They are friendly and courteous. The convenience of where they are located.",,9
17,4188723,320,1/20/2015,1/15/2015,Compliment,"Anytime we need assistance, they advise us and give assistance. The girls know me, my kids, and my family. They are patient, and I can't say enough good things about those girls. I'll know when I'm close to overdrawing, because the girls will call me to let me know.",,8
18,3739828,351,7/21/2014,7/18/2014,Compliment,"As I answered to your questions, everything is excellent, and other banks I have worked with weren't. I did business with MY BANK before and then went to another bank. That was a mistake. I should have stayed with them.",,8
19,4898645,354,10/27/2015,10/25/2015,Compliment,"As I'm walking in the door, they ask me, ""Will this be a transfer, Mr. Jackson?"" because I do one every month. They pursue my needs as I'm walking in the door. The girls at the cashier area, they pull out my previous paperwork for my transaction history before I even get to the front.",,8
20,4653889,357,7/21/2015,7/20/2015,Compliment,"As of right now, I only have the one visit to go by. I was very impressed by their level of service; not only by how I was treated, but how my family members were treated who were with me. I was very pleased with the service that was provided. The service was very professional and very polite. I felt like the level of friendliness was sincere. It wasn't make-believe, or put on. They were honest.",,9
21,3469840,160,5/8/2014,5/7/2014,Compliment,At our branch it's a nice place. The people are very nice and good. I have had no problems with MY BANK. They are polite. I've banked there for a long time. They are nice to deal with.,,8
22,4971520,350,11/16/2015,11/13/2015,Compliment,"At the Elharth North branch the tellers are nice. You walk in there; they are constantly smiling. They know me by name. I can walk in there; they take care of me. I can walk in there, give cash to the teller, and they know what to do with it. It says something when you trust them like that. The manager, Amy, is always nice. Everybody is always nice. I've never had an issue there. I told my landlord here at the farm about it, and he was always a Chase member. He switched over to MY BANK.",,8
23,3329992,115,4/10/2014,4/9/2014,Compliment,"Basically, I feel that they took care of everything. Very little was left to chance, and I'm very satisfied with the customer service.",,9
24,4388582,160,4/8/2015,4/7/2015,Compliment,"Because all of the tellers are great in there. I've been banking with them for years, and my mom's been there for over 40 years. They do good at that branch. Never had any problems. Jeff and Monique are very friendly. When the tellers leave, the ones that have been there for a while, I get sad.",,9
25,5016908,351,12/3/2015,12/2/2015,Compliment,"Because all the times I've gone in MY BANK, they are always nice and friendly.",,10
26,4664356,115,7/29/2015,7/24/2015,Compliment,"Because any time I call, or go in there, they are there for me 24 hours a day. They get right down to the problems. They answer any questions. They are friendly and helpful. They've never had a snobby person. It's just the information they have for you, and what they can do for you.",,9
27,4568647,354,6/22/2015,6/19/2015,Compliment,"Because any time we've had any issues, we've called them, and they've fixed them immediately. They greet us at the door with our names, and they notice our vehicles. They're very friendly. They go above and beyond. We have a car loan with them. They worked with us on it. We went through several different vehicles, and they helped us out a lot. They explained it to us, and they told us to take our time.",,9
28,4088106,320,12/3/2014,12/2/2014,Compliment,"Because every time I have a problem, they take care of it. Terry is a good manager there. I'm very satisfied. I had a few issues in the past, and they solved them. Sometimes, I've had companies draft my account and take too much. They've gotten whatever paperwork I might have needed fast, and helped me work it out. It's just their general service, they're very friendly. I like them all.",,8
29,4728816,160,8/28/2015,8/24/2015,Compliment,"Because every time I have had fraud problems, they have taken care of it before it even gets to my account.",,9
30,5047150,357,12/28/2015,12/16/2015,Compliment,"Because every time I have to deal with them, I get good service, and they know my name. I enjoy working with everyone there.",,10
