id,text
1,MY BANK is always good to me I have banked with them since I was 13 years old Everything has always been on the up-and-up It is the only bank I have dealt with You are very personable almost like a family
2,MY BANK is the best for me They help people when they really need help Because it's the best
3,MY BANK has been 100 percent on top on any bank They've been absolutely amazing the tellers all the way down to all of the tellers and they are absolutely amazing They provide an excellent service and it's from the time you walk in by the time you leave We're all satisfied with them since and every need that I've had there I've never gotten better service or personal attention the way I do when I go to MY BANK
4,Absolutely no problems with them Everything has been great Very happy with their service No trouble whatsoever
5,Absolutely They are efficient courteous and helpful
6,Actually it's the friendliness
7,Actually we've never had any problems with them since we moved here 15 years ago We've never had any problems They've been very helpful We've opened accounts with them and they've led us in a good direction As long as I don't have any problem with them they are fine They seem to know what they are doing and I haven't had any banking problems with them of any kind
8,All my questions are answered and they are very helpful
9,All the mentioned things I told you I do not know Everything together makes the bank not just one thing
10,All the people there are very helpful and never had an issue Everyone knows me
11,All the reasons we have talked about Everybody is pleasant and they don't make many mistakes
12,All the tellers when I walk in they greet you call you by name they treat you like a family member or friend and not a number Every time I go in there they are able to help me If they aren't able to the branch manager helps me They are all good They are all dressed nice I was having problems several months back with one of my accounts so I sat down and they called the main branch and took the time to do that That wasn't the only thing I had to ask questions about transferring money from an IRA just very helpful I'm going to say the manager Cari Wells is very helpful very welcoming She treats people with respect and very helpful to the tellers All the tellers are wonderful
13,All the things you addressed They are always a pleasure to deal with and have made an effort to know who I am
14,All these things you asked about is why I rate it absolutely the best I like them a lot
15,Always nice they have conversation and it's very convenient
16,Anytime I go in there they are courteous they take care of what I need and they are helpful I just really like them The other thing is convenience The hours that branch has I work 8:00 am to 5:00 am so it's nice to get in there after 5:00 pm
17,Anytime I go in they answer my questions they take care of my questions They are friendly and courteous The convenience of where they are located
18,Anytime we need assistance they advise us and give assistance The girls know me my kids and my family They are patient and I can't say enough good things about those girls I'll know when I'm close to overdrawing because the girls will call me to let me know
19,As I answered to your questions everything is excellent and other banks I have worked with weren't I did business with MY BANK before and then went to another bank That was a mistake I should have stayed with them
20,"As I'm walking in the door they ask me ""Will this be a transfer Mr Jackson?"" because I do one every month They pursue my needs as I'm walking in the door The girls at the cashier area they pull out my previous paperwork for my transaction history before I even get to the front"
21,As of right now I only have the one visit to go by I was very impressed by their level of service; not only by how I was treated but how my family members were treated who were with me I was very pleased with the service that was provided The service was very professional and very polite I felt like the level of friendliness was sincere It wasn't make-believe or put on They were honest
22,At our branch it's a nice place The people are very nice and good I have had no problems with MY BANK They are polite I've banked there for a long time They are nice to deal with
23,At the Elharth North branch the tellers are nice You walk in there; they are constantly smiling They know me by name I can walk in there; they take care of me I can walk in there give cash to the teller and they know what to do with it It says something when you trust them like that The manager Amy is always nice Everybody is always nice I've never had an issue there I told my landlord here at the farm about it and he was always a Chase member He switched over to MY BANK
24,Basically I feel that they took care of everything Very little was left to chance and I'm very satisfied with the customer service
25,Because all of the tellers are great in there I've been banking with them for years and my mom's been there for over 40 years They do good at that branch Never had any problems Jeff and Monique are very friendly When the tellers leave the ones that have been there for a while I get sad
26,Because all the times I've gone in MY BANK they are always nice and friendly
27,Because any time I call or go in there they are there for me 24 hours a day They get right down to the problems They answer any questions They are friendly and helpful They've never had a snobby person It's just the information they have for you and what they can do for you
28,Because any time we've had any issues we've called them and they've fixed them immediately They greet us at the door with our names and they notice our vehicles They're very friendly They go above and beyond We have a car loan with them They worked with us on it We went through several different vehicles and they helped us out a lot They explained it to us and they told us to take our time
29,Because every time I have a problem they take care of it Terry is a good manager there I'm very satisfied I had a few issues in the past and they solved them Sometimes I've had companies draft my account and take too much They've gotten whatever paperwork I might have needed fast and helped me work it out It's just their general service they're very friendly I like them all
30,Because every time I have had fraud problems they have taken care of it before it even gets to my account
31,Because every time I have to deal with them I get good service and they know my name I enjoy working with everyone there
